date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-12-11,4,-1,0.0,8.7,2,24,11:32 AM,09:45 PM,08:13 AM,05:46 PM,-2,-2,2,-2,19,9,78,0.0,1020,4,10,308,11,20688
2018-12-12,7,1,0.0,5.2,1,31,12:08 PM,10:40 PM,08:13 AM,05:46 PM,-2,1,4,1,18,40,68,0.0,1022,7,10,222,10,20688
2018-12-13,8,3,0.0,8.7,3,38,12:41 PM,11:37 PM,08:14 AM,05:46 PM,2,4,6,4,13,45,77,0.0,1026,8,10,163,8,20688
2018-12-14,9,5,0.0,7.0,2,45,01:12 PM,No moonset,08:15 AM,05:46 PM,4,6,7,6,12,52,82,9.6,1028,9,9,103,7,20688
2018-12-15,12,11,0.0,3.5,3,51,01:41 PM,12:34 AM,08:15 AM,05:47 PM,11,9,11,9,29,100,97,36.3,1016,12,7,60,17,20688
2018-12-16,10,5,0.0,3.5,2,58,02:09 PM,01:32 AM,08:16 AM,05:47 PM,7,6,8,6,18,89,92,13.9,1011,10,8,220,12,20688
2018-12-17,11,4,0.0,8.7,3,65,02:38 PM,02:31 AM,08:17 AM,05:47 PM,2,4,7,4,25,17,74,0.0,1013,11,10,291,15,20688
2018-12-18,6,3,0.0,8.7,2,72,03:09 PM,03:32 AM,08:17 AM,05:48 PM,-3,0,4,0,23,0,59,0.0,1021,6,10,316,15,20688
2018-12-19,8,1,0.0,8.7,3,78,03:44 PM,04:36 AM,08:18 AM,05:48 PM,-2,2,4,2,16,6,63,0.0,1022,8,10,208,9,20688
2018-12-20,14,5,0.0,3.5,2,85,04:23 PM,05:43 AM,08:18 AM,05:49 PM,6,6,8,6,25,78,86,18.4,1014,14,9,108,14,20688
2018-12-21,15,12,0.0,7.0,3,92,05:09 PM,06:51 AM,08:19 AM,05:49 PM,13,13,14,13,37,67,91,10.1,994,15,9,173,18,20688
2018-12-22,10,6,0.0,7.0,2,99,06:04 PM,07:59 AM,08:19 AM,05:50 PM,3,5,8,5,30,34,69,3.0,1008,10,9,296,20,20688
2018-12-23,8,3,0.0,8.7,3,94,07:06 PM,09:04 AM,08:20 AM,05:50 PM,-0,4,6,4,14,13,67,0.6,1021,8,9,247,9,20688
2018-12-24,7,4,0.0,8.7,3,88,08:14 PM,10:03 AM,08:20 AM,05:51 PM,1,3,6,3,20,26,71,0.1,1021,7,10,274,12,20688
2018-12-25,5,2,0.0,5.2,1,81,09:26 PM,10:55 AM,08:21 AM,05:51 PM,-4,0,3,0,16,40,58,0.0,1028,5,10,327,10,20688
2018-12-26,7,1,0.0,8.7,2,74,10:37 PM,11:40 AM,08:21 AM,05:52 PM,-3,2,4,2,9,6,62,0.0,1033,7,10,277,5,20688
2018-12-27,8,2,0.0,8.7,2,67,11:47 PM,12:18 PM,08:21 AM,05:53 PM,1,3,5,3,15,32,72,0.0,1034,8,10,159,9,20688
2018-12-28,16,10,0.0,5.2,3,61,No moonrise,12:53 PM,08:22 AM,05:53 PM,12,11,13,11,33,83,92,43.2,1019,16,7,200,18,20688
2018-12-29,12,7,0.0,7.0,3,54,12:54 AM,01:25 PM,08:22 AM,05:54 PM,6,8,10,8,25,33,76,0.0,1020,12,10,228,15,20688
2018-12-30,8,4,0.0,7.0,2,47,01:59 AM,01:56 PM,08:22 AM,05:55 PM,1,5,6,5,7,32,70,0.0,1024,8,10,89,5,20688
2018-12-31,12,5,0.0,3.5,2,40,03:03 AM,02:28 PM,08:23 AM,05:55 PM,7,6,8,6,22,73,89,4.9,1022,12,9,150,11,20688
2019-01-01,16,8,0.0,7.0,3,34,04:06 AM,03:01 PM,08:23 AM,05:56 PM,9,13,14,13,37,65,74,0.0,1016,16,10,277,13,20688
2019-01-02,8,4,0.0,7.0,2,27,05:07 AM,03:38 PM,08:23 AM,05:57 PM,2,5,7,5,15,73,73,0.4,1024,8,8,105,5,20688
2019-01-03,10,5,0.0,5.2,2,20,06:07 AM,04:17 PM,08:23 AM,05:58 PM,4,5,7,5,18,66,80,6.4,1017,10,8,266,4,20688
2019-01-04,9,5,0.0,7.0,2,13,07:04 AM,05:02 PM,08:23 AM,05:59 PM,4,5,7,5,15,67,84,3.3,1015,9,8,147,5,20688
2019-01-05,11,9,0.0,5.2,2,6,07:57 AM,05:50 PM,08:23 AM,05:59 PM,7,8,10,8,26,64,86,6.9,1003,11,7,238,11,20688
2019-01-06,11,3,0.0,9.8,3,0,08:46 AM,06:42 PM,08:23 AM,06:00 PM,2,5,8,5,26,5,67,0.0,1021,11,10,302,8,20688
2019-01-07,4,2,0.0,9.8,1,7,09:30 AM,07:36 PM,08:23 AM,06:01 PM,-3,0,4,0,21,44,60,0.0,1030,4,10,105,7,20688
2019-01-08,13,6,0.0,9.8,3,14,10:08 AM,08:32 PM,08:23 AM,06:02 PM,7,7,10,7,27,60,83,1.9,1015,13,8,208,10,20688
2019-01-09,8,1,0.0,8.3,2,21,10:42 AM,09:28 PM,08:23 AM,06:03 PM,-2,2,6,2,37,33,57,0.2,1010,8,10,288,16,20688
2019-01-10,3,-1,0.0,9.8,1,27,11:14 AM,10:24 PM,08:23 AM,06:04 PM,-9,-6,0,-6,40,15,51,0.0,1016,3,10,307,15,20688
2019-01-11,2,-2,0.0,9.8,2,34,11:43 AM,11:22 PM,08:22 AM,06:05 PM,-9,-5,-0,-5,26,5,50,0.0,1027,2,10,320,8,20688
