date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-12-11,4,-5,0.0,8.7,2,24,11:40 AM,09:47 PM,08:21 AM,05:47 PM,-7,-4,-1,-4,10,1,68,0.0,1020,4,10,284,6,21742
2018-12-12,5,-4,0.0,7.0,1,31,12:16 PM,10:43 PM,08:22 AM,05:47 PM,-4,-3,-0,-3,13,33,77,0.0,1021,5,10,209,7,21742
2018-12-13,7,-1,0.0,8.7,1,38,12:49 PM,11:40 PM,08:23 AM,05:47 PM,0,1,2,1,7,62,88,0.2,1026,7,7,86,4,21742
2018-12-14,5,-1,0.0,3.5,1,45,01:19 PM,No moonset,08:24 AM,05:47 PM,1,1,2,1,6,71,93,4.8,1028,5,6,118,3,21742
2018-12-15,8,5,0.0,3.5,2,51,01:47 PM,12:38 AM,08:24 AM,05:48 PM,6,4,7,4,21,100,97,51.3,1019,8,7,71,13,21742
2018-12-16,4,1,0.0,3.5,1,58,02:14 PM,01:37 AM,08:25 AM,05:48 PM,2,0,3,0,18,90,92,24.4,1013,4,7,134,13,21742
2018-12-17,8,0,0.0,7.0,1,65,02:42 PM,02:36 AM,08:26 AM,05:48 PM,-1,-1,3,-1,22,20,77,0.0,1014,8,10,290,14,21742
2018-12-18,4,-2,0.0,8.7,2,72,03:13 PM,03:38 AM,08:26 AM,05:49 PM,-5,-3,1,-3,18,3,65,0.0,1021,4,10,308,12,21742
2018-12-19,6,-2,0.0,8.7,2,78,03:47 PM,04:43 AM,08:27 AM,05:49 PM,-3,1,2,1,8,4,70,0.0,1020,6,10,183,5,21742
2018-12-20,5,-0,0.0,3.5,1,85,04:25 PM,05:50 AM,08:27 AM,05:50 PM,1,1,2,1,11,65,90,15.4,1014,5,9,102,6,21742
2018-12-21,15,6,0.0,5.2,3,92,05:11 PM,06:59 AM,08:28 AM,05:50 PM,11,11,12,11,28,86,91,29.5,992,15,8,188,15,21742
2018-12-22,7,1,0.0,7.0,1,99,06:05 PM,08:08 AM,08:28 AM,05:51 PM,-0,-1,4,-1,28,54,74,4.0,1008,7,9,287,20,21742
2018-12-23,7,-1,0.0,8.7,1,94,07:08 PM,09:13 AM,08:29 AM,05:51 PM,-1,1,2,1,10,44,76,2.3,1021,7,9,207,6,21742
2018-12-24,4,-2,0.0,3.5,1,88,08:16 PM,10:12 AM,08:29 AM,05:52 PM,-2,-2,2,-2,18,65,76,0.1,1022,4,10,287,12,21742
2018-12-25,3,-3,0.0,3.5,1,81,09:28 PM,11:03 AM,08:30 AM,05:52 PM,-7,-2,-1,-2,8,53,65,0.0,1028,3,10,266,5,21742
2018-12-26,7,-3,0.0,8.7,2,74,10:40 PM,11:47 AM,08:30 AM,05:53 PM,-4,0,1,0,7,19,71,0.0,1033,7,10,251,4,21742
2018-12-27,7,-1,0.0,8.7,1,67,11:51 PM,12:25 PM,08:30 AM,05:54 PM,-1,0,3,0,15,36,78,0.0,1033,7,10,153,9,21742
2018-12-28,8,4,0.0,3.5,2,61,No moonrise,12:59 PM,08:31 AM,05:54 PM,6,5,6,5,13,86,97,46.6,1017,8,6,175,7,21742
2018-12-29,5,1,0.0,8.7,2,54,12:59 AM,01:30 PM,08:31 AM,05:55 PM,2,2,5,2,21,32,79,0.2,1021,5,10,299,13,21742
2018-12-30,6,0,0.0,8.7,1,47,02:05 AM,02:00 PM,08:31 AM,05:56 PM,-1,1,2,1,7,27,80,0.0,1024,6,10,198,5,21742
2018-12-31,7,1,0.0,3.5,1,40,03:10 AM,02:31 PM,08:31 AM,05:56 PM,3,1,3,1,16,81,95,6.3,1020,7,4,144,8,21742
2019-01-01,10,4,0.0,7.0,3,34,04:13 AM,03:04 PM,08:31 AM,05:57 PM,5,6,9,6,31,38,80,4.6,1015,10,10,270,15,21742
2019-01-02,6,2,0.0,3.5,1,27,05:15 AM,03:40 PM,08:32 AM,05:58 PM,1,2,4,2,14,87,80,0.1,1023,6,10,125,8,21742
2019-01-03,5,1,0.0,8.7,2,20,06:15 AM,04:19 PM,08:32 AM,05:59 PM,-0,1,4,1,20,29,77,0.1,1017,5,10,263,9,21742
2019-01-04,7,-0,0.0,6.5,1,13,07:13 AM,05:03 PM,08:32 AM,06:00 PM,1,1,3,1,11,57,86,0.8,1014,7,8,184,8,21742
2019-01-05,9,4,0.0,9.7,2,6,08:06 AM,05:51 PM,08:32 AM,06:01 PM,4,3,6,3,21,55,88,14.6,1004,9,8,183,12,21742
2019-01-06,8,1,0.0,9.7,2,0,08:55 AM,06:43 PM,08:32 AM,06:02 PM,-1,1,4,1,24,3,71,0.0,1020,8,10,295,13,21742
2019-01-07,1,-1,0.0,6.5,1,7,09:38 AM,07:38 PM,08:32 AM,06:03 PM,-6,-4,-0,-4,19,62,64,0.1,1029,1,10,120,10,21742
2019-01-08,10,-0,0.0,9.7,2,14,10:16 AM,08:34 PM,08:32 AM,06:03 PM,3,3,5,3,23,43,86,6.7,1013,10,9,180,12,21742
2019-01-09,4,-3,0.2,6.5,1,21,10:50 AM,09:31 PM,08:31 AM,06:04 PM,-4,-4,1,-4,34,49,68,4.0,1010,4,6,287,24,21742
2019-01-10,1,-5,0.0,9.7,1,27,11:21 AM,10:28 PM,08:31 AM,06:05 PM,-11,-10,-3,-10,44,35,52,0.1,1017,1,7,306,18,21742
2019-01-11,-0,-5,0.0,9.8,2,34,11:49 AM,11:26 PM,08:31 AM,06:06 PM,-11,-8,-3,-8,26,13,56,0.0,1028,-0,10,310,13,21742
