date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-12-11,4,-1,0.0,8.7,2,24,11:32 AM,09:45 PM,08:12 AM,05:46 PM,-2,-2,2,-2,20,10,77,0.0,1020,4,10,311,12,20653
2018-12-12,6,1,0.0,5.2,1,31,12:08 PM,10:40 PM,08:13 AM,05:46 PM,-2,1,4,1,19,37,68,0.0,1022,6,10,223,11,20653
2018-12-13,8,4,0.0,7.0,3,38,12:41 PM,11:37 PM,08:14 AM,05:46 PM,2,4,6,4,14,43,77,0.0,1026,8,10,162,9,20653
2018-12-14,9,5,0.0,8.7,2,45,01:12 PM,No moonset,08:15 AM,05:47 PM,4,6,7,6,13,50,82,5.2,1028,9,9,105,7,20653
2018-12-15,12,11,0.0,3.5,3,51,01:41 PM,12:34 AM,08:15 AM,05:47 PM,11,9,11,9,31,100,97,9.9,1016,12,9,65,17,20653
2018-12-16,10,5,0.0,3.5,2,58,02:09 PM,01:32 AM,08:16 AM,05:47 PM,7,6,8,6,18,91,92,2.5,1011,10,9,248,12,20653
2018-12-17,10,5,0.0,8.7,3,65,02:38 PM,02:31 AM,08:17 AM,05:47 PM,2,4,7,4,26,17,74,0.0,1013,10,10,293,16,20653
2018-12-18,6,3,0.0,8.7,2,72,03:09 PM,03:32 AM,08:17 AM,05:48 PM,-3,0,4,0,24,0,60,0.0,1021,6,10,318,16,20653
2018-12-19,8,1,0.0,8.7,3,78,03:44 PM,04:35 AM,08:18 AM,05:48 PM,-2,2,4,2,16,6,64,0.0,1022,8,10,208,9,20653
2018-12-20,14,5,0.0,3.5,2,85,04:23 PM,05:42 AM,08:18 AM,05:49 PM,6,6,8,6,26,78,87,12.4,1014,14,9,110,14,20653
2018-12-21,15,12,0.0,8.7,3,92,05:10 PM,06:51 AM,08:19 AM,05:49 PM,13,13,14,13,42,66,91,4.1,994,15,8,172,20,20653
2018-12-22,10,6,0.0,8.7,2,99,06:04 PM,07:59 AM,08:19 AM,05:50 PM,3,5,8,5,31,35,70,0.7,1008,10,9,295,20,20653
2018-12-23,8,3,0.0,8.7,3,94,07:06 PM,09:04 AM,08:20 AM,05:50 PM,0,4,6,4,14,12,68,0.7,1021,8,9,249,9,20653
2018-12-24,7,5,0.0,8.7,3,88,08:14 PM,10:03 AM,08:20 AM,05:51 PM,1,3,6,3,21,27,71,0.0,1021,7,10,284,13,20653
2018-12-25,5,2,0.0,5.2,1,81,09:26 PM,10:55 AM,08:21 AM,05:51 PM,-4,0,3,0,16,38,59,0.0,1028,5,10,328,11,20653
2018-12-26,7,1,0.0,8.7,2,74,10:37 PM,11:40 AM,08:21 AM,05:52 PM,-3,2,4,2,9,6,62,0.0,1033,7,10,239,5,20653
2018-12-27,8,2,0.0,8.7,2,67,11:47 PM,12:18 PM,08:21 AM,05:53 PM,1,4,5,4,16,31,73,0.0,1034,8,10,157,10,20653
2018-12-28,16,10,0.0,5.2,3,61,No moonrise,12:53 PM,08:22 AM,05:53 PM,12,11,13,11,37,79,92,21.5,1019,16,9,196,19,20653
2018-12-29,12,7,0.0,7.0,3,54,12:54 AM,01:25 PM,08:22 AM,05:54 PM,6,7,10,7,26,33,77,0.0,1020,12,10,228,15,20653
2018-12-30,8,5,0.0,7.0,2,47,01:59 AM,01:56 PM,08:22 AM,05:55 PM,1,5,6,5,7,32,70,0.0,1024,8,10,87,5,20653
2018-12-31,12,5,0.0,3.5,2,40,03:03 AM,02:28 PM,08:22 AM,05:56 PM,6,6,8,6,24,71,89,1.9,1022,12,10,148,11,20653
2019-01-01,16,8,0.0,7.0,3,34,04:05 AM,03:02 PM,08:22 AM,05:56 PM,9,13,14,13,43,66,75,0.2,1016,16,10,276,15,20653
2019-01-02,8,6,0.0,7.0,2,27,05:07 AM,03:38 PM,08:23 AM,05:57 PM,3,6,7,6,17,71,72,0.3,1024,8,9,103,8,20653
2019-01-03,10,5,0.0,5.2,2,20,06:07 AM,04:18 PM,08:23 AM,05:58 PM,4,5,7,5,21,67,81,4.0,1017,10,8,266,12,20653
2019-01-04,9,5,0.0,7.0,2,13,07:04 AM,05:02 PM,08:23 AM,05:59 PM,4,5,7,5,17,65,83,3.1,1015,9,8,145,8,20653
2019-01-05,11,9,0.0,8.2,2,6,07:57 AM,05:50 PM,08:23 AM,06:00 PM,7,7,10,7,33,63,86,1.4,1003,11,8,236,16,20653
2019-01-06,11,7,0.0,9.8,3,0,08:45 AM,06:42 PM,08:23 AM,06:01 PM,3,7,9,7,31,5,64,0.0,1019,11,10,303,15,20653
2019-01-07,4,2,0.0,8.2,2,7,09:29 AM,07:36 PM,08:23 AM,06:01 PM,-3,-0,4,-0,24,43,60,0.0,1030,4,10,105,13,20653
2019-01-08,13,6,0.0,9.8,3,14,10:08 AM,08:32 PM,08:23 AM,06:02 PM,7,7,9,7,33,61,84,1.0,1015,13,10,206,12,20653
2019-01-09,8,1,0.0,8.3,2,21,10:42 AM,09:28 PM,08:23 AM,06:03 PM,-1,2,6,2,43,32,58,0.2,1010,8,10,288,24,20653
2019-01-10,3,-1,0.0,9.8,1,27,11:14 AM,10:24 PM,08:22 AM,06:04 PM,-8,-6,0,-6,47,16,52,0.0,1016,3,10,308,28,20653
2019-01-11,2,-2,0.0,9.8,2,34,11:43 AM,11:22 PM,08:22 AM,06:05 PM,-9,-5,-0,-5,30,5,50,0.0,1027,2,10,322,17,20653
