date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-12-11,4,-2,0.0,8.7,2,24,11:31 AM,09:42 PM,08:12 AM,05:43 PM,-4,-2,1,-2,19,2,72,0.0,1020,4,10,180,10,21601
2018-12-12,6,1,0.0,7.0,1,31,12:07 PM,10:38 PM,08:13 AM,05:43 PM,-3,0,3,0,17,31,63,0.0,1022,6,10,259,9,21601
2018-12-13,9,3,0.0,7.0,2,38,12:40 PM,11:35 PM,08:14 AM,05:43 PM,1,3,6,3,16,46,74,0.0,1027,9,10,142,9,21601
2018-12-14,11,4,0.0,7.0,2,45,01:11 PM,No moonset,08:14 AM,05:44 PM,5,6,7,6,12,51,86,6.4,1028,11,10,92,6,21601
2018-12-15,12,11,0.0,3.5,3,51,01:40 PM,12:32 AM,08:15 AM,05:44 PM,11,10,12,10,29,100,96,16.2,1017,12,7,57,18,21601
2018-12-16,10,4,0.0,3.5,2,58,02:07 PM,01:30 AM,08:16 AM,05:44 PM,6,5,8,5,29,92,91,6.5,1011,10,9,152,19,21601
2018-12-17,10,4,0.0,8.7,3,65,02:36 PM,02:29 AM,08:16 AM,05:44 PM,1,3,6,3,26,20,72,0.0,1012,10,10,295,16,21601
2018-12-18,5,2,0.0,8.7,2,72,03:07 PM,03:31 AM,08:17 AM,05:45 PM,-4,-0,3,-0,24,2,59,0.0,1020,5,10,313,15,21601
2018-12-19,7,1,0.0,8.7,2,78,03:41 PM,04:34 AM,08:18 AM,05:45 PM,-2,2,4,2,14,4,66,0.0,1022,7,10,207,8,21601
2018-12-20,14,3,0.0,3.5,2,85,04:20 PM,05:42 AM,08:18 AM,05:46 PM,5,5,7,5,23,73,87,14.8,1015,14,8,105,13,21601
2018-12-21,16,13,0.0,7.0,4,92,05:07 PM,06:50 AM,08:19 AM,05:46 PM,14,14,15,14,38,71,90,8.4,994,16,10,173,21,21601
2018-12-22,10,5,0.0,8.7,3,99,06:01 PM,07:59 AM,08:19 AM,05:47 PM,2,4,7,4,31,31,69,1.4,1007,10,10,289,21,21601
2018-12-23,8,2,0.0,8.7,3,94,07:03 PM,09:04 AM,08:20 AM,05:47 PM,-1,3,5,3,13,13,68,0.0,1021,8,10,247,8,21601
2018-12-24,7,4,0.0,8.7,3,88,08:11 PM,10:03 AM,08:20 AM,05:48 PM,-0,3,5,3,21,40,70,0.3,1021,7,9,285,12,21601
2018-12-25,5,0,0.0,7.0,1,81,09:23 PM,10:54 AM,08:20 AM,05:48 PM,-5,-1,2,-1,15,39,58,0.0,1028,5,10,316,10,21601
2018-12-26,6,0,0.0,8.7,2,74,10:35 PM,11:39 AM,08:21 AM,05:49 PM,-4,1,3,1,11,7,64,0.0,1033,6,10,237,6,21601
2018-12-27,9,1,0.0,8.7,3,67,11:45 PM,12:17 PM,08:21 AM,05:50 PM,1,3,5,3,15,28,74,0.0,1034,9,10,156,9,21601
2018-12-28,16,10,0.0,3.5,3,61,No moonrise,12:51 PM,08:21 AM,05:50 PM,12,11,13,11,32,87,92,29.0,1019,16,9,198,19,21601
2018-12-29,13,5,0.0,7.0,2,54,12:52 AM,01:23 PM,08:22 AM,05:51 PM,5,7,9,7,25,39,75,0.0,1020,13,10,265,15,21601
2018-12-30,7,4,0.0,8.7,3,47,01:58 AM,01:54 PM,08:22 AM,05:52 PM,0,5,5,5,6,39,70,0.0,1024,7,10,220,4,21601
2018-12-31,11,3,0.0,5.2,2,40,03:02 AM,02:26 PM,08:22 AM,05:53 PM,5,5,7,5,23,64,89,5.2,1022,11,9,141,11,21601
2019-01-01,16,8,0.0,7.0,3,34,04:05 AM,02:59 PM,08:22 AM,05:53 PM,9,12,13,12,41,58,74,0.2,1015,16,10,272,12,21601
2019-01-02,9,3,0.0,7.0,2,27,05:06 AM,03:35 PM,08:22 AM,05:54 PM,2,4,6,4,17,48,73,0.2,1024,9,10,137,5,21601
2019-01-03,9,4,0.0,7.0,2,20,06:06 AM,04:15 PM,08:23 AM,05:55 PM,3,4,7,4,24,62,78,4.0,1017,9,9,257,6,21601
2019-01-04,9,3,0.0,7.0,2,13,07:03 AM,04:59 PM,08:23 AM,05:56 PM,3,4,6,4,18,62,80,1.2,1015,9,10,157,8,21601
2019-01-05,10,8,0.0,5.2,2,6,07:57 AM,05:47 PM,08:23 AM,05:57 PM,7,7,9,7,27,69,88,1.1,1002,10,6,227,13,21601
2019-01-06,11,4,0.0,8.7,3,0,08:45 AM,06:39 PM,08:23 AM,05:58 PM,1,5,7,5,33,7,67,0.0,1019,11,10,302,13,21601
2019-01-07,4,0,0.0,5.2,1,7,09:29 AM,07:34 PM,08:23 AM,05:59 PM,-5,-2,2,-2,23,44,59,0.0,1030,4,10,97,7,21601
2019-01-08,11,4,0.0,5.2,2,14,10:07 AM,08:29 PM,08:22 AM,05:59 PM,6,5,8,5,31,69,87,2.0,1015,11,9,199,10,21601
2019-01-09,7,1,0.0,9.8,2,21,10:41 AM,09:26 PM,08:22 AM,06:00 PM,-2,1,6,1,47,35,58,0.6,1009,7,9,286,19,21601
2019-01-10,3,-2,0.0,9.8,1,27,11:13 AM,10:22 PM,08:22 AM,06:01 PM,-9,-7,0,-7,52,33,51,0.0,1015,3,10,307,18,21601
2019-01-11,2,-2,0.0,9.8,2,34,11:42 AM,11:20 PM,08:22 AM,06:02 PM,-11,-6,-1,-6,32,6,46,0.0,1027,2,10,310,9,21601
