date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-12-11,4,-3,0.0,8.7,2,24,11:37 AM,09:44 PM,08:19 AM,05:44 PM,-6,-3,-0,-3,10,1,67,0.0,1020,4,10,292,7,21158
2018-12-12,5,-3,0.0,8.7,2,31,12:13 PM,10:40 PM,08:19 AM,05:44 PM,-4,-3,0,-3,15,23,74,0.0,1021,5,10,221,8,21158
2018-12-13,7,-0,0.0,8.7,1,38,12:46 PM,11:38 PM,08:20 AM,05:45 PM,-0,0,3,0,11,55,83,0.0,1026,7,10,104,7,21158
2018-12-14,7,-0,0.0,3.5,1,45,01:16 PM,No moonset,08:21 AM,05:45 PM,2,2,4,2,9,74,91,2.6,1028,7,8,119,5,21158
2018-12-15,9,6,0.0,3.5,2,51,01:44 PM,12:35 AM,08:22 AM,05:45 PM,7,5,8,5,27,100,96,19.2,1019,9,7,37,16,21158
2018-12-16,5,2,0.0,3.5,1,58,02:11 PM,01:34 AM,08:22 AM,05:45 PM,3,1,4,1,23,93,92,33.7,1013,5,8,140,16,21158
2018-12-17,9,0,0.0,8.7,2,65,02:40 PM,02:33 AM,08:23 AM,05:46 PM,-0,-1,3,-1,27,27,77,0.0,1013,9,10,293,17,21158
2018-12-18,4,-2,0.0,8.7,2,72,03:10 PM,03:36 AM,08:24 AM,05:46 PM,-5,-3,1,-3,22,5,65,0.0,1021,4,10,305,14,21158
2018-12-19,7,-0,0.0,8.7,2,78,03:44 PM,04:40 AM,08:24 AM,05:47 PM,-3,1,3,1,10,3,66,0.0,1021,7,10,196,7,21158
2018-12-20,5,0,0.0,3.5,1,85,04:22 PM,05:47 AM,08:25 AM,05:47 PM,1,1,3,1,18,65,87,6.8,1014,5,10,111,10,21158
2018-12-21,16,9,0.0,5.2,3,92,05:08 PM,06:56 AM,08:25 AM,05:47 PM,13,13,14,13,32,78,92,16.8,993,16,9,178,19,21158
2018-12-22,7,1,0.0,7.0,1,99,06:02 PM,08:05 AM,08:26 AM,05:48 PM,-0,-0,4,-0,32,41,74,2.4,1007,7,10,287,22,21158
2018-12-23,7,-1,0.0,8.7,1,94,07:05 PM,09:11 AM,08:26 AM,05:49 PM,-1,1,3,1,11,37,75,1.4,1021,7,10,216,7,21158
2018-12-24,5,-2,0.1,8.7,1,88,08:13 PM,10:09 AM,08:27 AM,05:49 PM,-2,-1,2,-1,21,45,76,0.2,1021,5,10,287,13,21158
2018-12-25,4,-3,0.0,3.5,1,81,09:26 PM,11:00 AM,08:27 AM,05:50 PM,-6,-3,-0,-3,12,53,64,0.0,1028,4,10,307,8,21158
2018-12-26,7,-2,0.0,8.7,2,74,10:37 PM,11:44 AM,08:27 AM,05:50 PM,-4,0,2,0,9,16,70,0.0,1033,7,10,258,5,21158
2018-12-27,7,-0,0.0,8.7,2,67,11:48 PM,12:22 PM,08:28 AM,05:51 PM,-1,1,3,1,16,30,76,0.0,1034,7,10,162,10,21158
2018-12-28,9,5,0.0,3.5,2,61,No moonrise,12:56 PM,08:28 AM,05:52 PM,7,6,8,6,19,83,96,52.6,1018,9,6,174,11,21158
2018-12-29,6,1,0.0,8.7,2,54,12:56 AM,01:27 PM,08:28 AM,05:52 PM,2,3,6,3,23,38,79,0.2,1020,6,10,299,14,21158
2018-12-30,6,1,0.0,8.7,2,47,02:02 AM,01:58 PM,08:28 AM,05:53 PM,-1,2,3,2,8,19,76,0.0,1024,6,10,211,5,21158
2018-12-31,8,-2,0.0,3.5,1,40,03:07 AM,02:29 PM,08:29 AM,05:54 PM,3,0,3,0,22,78,94,7.6,1021,8,6,154,11,21158
2019-01-01,11,5,0.0,8.7,3,34,04:10 AM,03:02 PM,08:29 AM,05:55 PM,6,7,10,7,37,21,79,3.7,1015,11,10,270,14,21158
2019-01-02,7,3,0.0,3.5,2,27,05:12 AM,03:37 PM,08:29 AM,05:56 PM,1,3,5,3,14,79,77,0.0,1022,7,10,153,5,21158
2019-01-03,6,3,0.0,8.7,2,20,06:12 AM,04:16 PM,08:29 AM,05:56 PM,1,2,5,2,21,27,77,0.2,1017,6,10,260,7,21158
2019-01-04,7,0,0.0,7.0,1,13,07:10 AM,05:00 PM,08:29 AM,05:57 PM,1,1,4,1,14,53,85,0.8,1014,7,10,201,8,21158
2019-01-05,9,5,0.0,5.2,2,6,08:03 AM,05:49 PM,08:29 AM,05:58 PM,4,3,6,3,23,64,89,7.2,1004,9,6,194,11,21158
