date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,4,-3,0.0,8.7,2,71,03:24 PM,04:52 AM,08:25 AM,05:53 PM,-12,-5,0,-5,28,15,41,0.0,1022,4,10,243,16,21220
2015-01-02,6,0,0.0,8.7,2,78,04:10 PM,05:51 AM,08:25 AM,05:54 PM,-4,-1,2,-1,22,14,62,0.0,1026,6,10,288,12,21220
2015-01-03,6,0,0.0,3.5,1,85,05:00 PM,06:46 AM,08:26 AM,05:55 PM,-0,-0,3,-0,16,63,81,2.3,1029,6,7,78,9,21220
2015-01-04,14,5,0.0,3.5,3,92,05:53 PM,07:36 AM,08:26 AM,05:56 PM,8,6,9,6,32,78,93,3.8,1013,14,10,231,19,21220
2015-01-05,2,-4,0.0,7.0,1,99,06:48 PM,08:21 AM,08:26 AM,05:56 PM,-7,-6,0,-6,38,18,57,0.2,1025,2,9,299,25,21220
2015-01-06,-2,-6,5.1,3.5,1,95,07:44 PM,09:02 AM,08:26 AM,05:57 PM,-9,-9,-5,-9,13,64,73,6.0,1025,-2,6,245,9,21220
2015-01-07,-6,-12,0.0,8.7,1,88,08:40 PM,09:39 AM,08:26 AM,05:58 PM,-12,-16,-7,-16,36,30,72,0.0,1022,-6,9,296,23,21220
2015-01-08,-9,-14,0.0,8.7,2,81,09:36 PM,10:11 AM,08:25 AM,05:59 PM,-15,-20,-11,-20,29,17,75,0.0,1031,-9,10,252,17,21220
2015-01-09,0,-7,0.0,9.8,1,74,10:31 PM,10:42 AM,08:25 AM,06:00 PM,-9,-11,-4,-11,31,41,66,0.0,1021,0,10,253,19,21220
2015-01-10,-6,-13,0.0,9.8,2,68,11:27 PM,11:12 AM,08:25 AM,06:01 PM,-13,-16,-9,-16,21,1,73,0.0,1034,-6,10,274,13,21220
2015-01-11,1,-8,0.0,9.8,2,61,No moonrise,11:41 AM,08:25 AM,06:02 PM,-7,-8,-3,-8,19,32,75,0.0,1036,1,10,177,10,21220
2015-01-12,2,1,0.0,4.9,1,54,12:22 AM,12:11 PM,08:25 AM,06:03 PM,-0,-3,1,-3,19,90,90,20.7,1026,2,6,182,11,21220
2015-01-13,-3,-6,0.0,9.8,2,47,01:19 AM,12:43 PM,08:24 AM,06:04 PM,-7,-10,-3,-10,29,26,76,0.0,1033,-3,10,62,19,21220
2015-01-14,-1,-6,0.6,4.9,1,41,02:16 AM,01:18 PM,08:24 AM,06:05 PM,-7,-8,-3,-8,18,81,72,0.7,1028,-1,8,63,13,21220
2015-01-15,2,-2,0.0,9.8,2,34,03:16 AM,01:56 PM,08:24 AM,06:06 PM,-6,-4,-0,-4,17,31,68,0.0,1020,2,10,292,11,21220
2015-01-16,6,-2,0.0,9.8,1,27,04:16 AM,02:41 PM,08:23 AM,06:07 PM,-4,-4,1,-4,33,15,66,0.0,1017,6,10,246,21,21220
2015-01-17,-0,-4,0.0,9.9,1,20,05:17 AM,03:33 PM,08:23 AM,06:08 PM,-11,-7,-2,-7,21,16,53,0.0,1027,-0,10,104,14,21220
2015-01-18,4,1,0.0,6.6,1,13,06:16 AM,04:31 PM,08:23 AM,06:10 PM,1,-2,2,-2,21,62,93,29.5,1014,4,9,218,11,21220
2015-01-19,6,1,0.0,9.9,1,7,07:12 AM,05:37 PM,08:22 AM,06:11 PM,-1,-2,3,-2,26,31,76,0.0,1014,6,10,277,15,21220
2015-01-20,7,1,0.0,9.9,2,0,08:03 AM,06:46 PM,08:22 AM,06:12 PM,-1,2,3,2,8,33,78,0.0,1015,7,10,150,4,21220
2015-01-21,1,-2,0.7,6.6,1,7,08:49 AM,07:58 PM,08:21 AM,06:13 PM,-3,-3,-0,-3,13,64,84,8.0,1020,1,7,72,9,21220
2015-01-22,4,-3,0.0,9.9,1,14,09:32 AM,09:10 PM,08:20 AM,06:14 PM,-1,-3,1,-3,18,43,89,0.0,1025,4,9,279,11,21220
2015-01-23,3,-2,0.0,8.3,1,20,10:11 AM,10:21 PM,08:20 AM,06:15 PM,-2,-3,1,-3,15,37,83,5.0,1024,3,9,188,9,21220
2015-01-24,3,0,0.0,8.3,1,27,10:49 AM,11:31 PM,08:19 AM,06:16 PM,0,-3,2,-3,29,70,91,26.8,1003,3,8,210,19,21220
2015-01-25,8,0,0.0,8.3,1,34,11:26 AM,No moonset,08:18 AM,06:17 PM,1,-0,4,-0,24,53,82,0.6,1010,8,8,226,14,21220
2015-01-26,0,-3,1.4,5.0,1,41,12:03 PM,12:38 AM,08:18 AM,06:19 PM,-2,-8,-1,-8,35,100,91,6.9,1009,0,4,46,25,21220
2015-01-27,-1,-5,0.0,8.3,1,48,12:42 PM,01:44 AM,08:17 AM,06:20 PM,-5,-10,-3,-10,38,80,86,0.7,1010,-1,8,335,25,21220
2015-01-28,-1,-8,0.0,10.1,2,54,01:24 PM,02:46 AM,08:16 AM,06:21 PM,-9,-13,-5,-13,38,8,76,0.0,1022,-1,10,323,24,21220
2015-01-29,0,-7,1.4,5.0,1,61,02:09 PM,03:46 AM,08:15 AM,06:22 PM,-7,-8,-3,-8,25,61,70,1.7,1023,0,10,185,15,21220
2015-01-30,1,-9,0.1,10.1,1,68,02:57 PM,04:41 AM,08:15 AM,06:23 PM,-5,-9,-1,-9,45,42,76,0.1,1017,1,9,300,29,21220
2015-01-31,-3,-10,0.0,10.1,2,75,03:48 PM,05:33 AM,08:14 AM,06:24 PM,-11,-14,-7,-14,34,12,72,0.0,1026,-3,10,307,23,21220
2015-02-01,3,-5,0.0,6.7,1,81,04:42 PM,06:19 AM,08:13 AM,06:26 PM,-5,-4,-0,-4,17,60,70,1.4,1022,3,9,200,10,21220
2015-02-02,8,-6,0.0,8.3,1,88,05:37 PM,07:01 AM,08:12 AM,06:27 PM,-1,-6,1,-6,43,72,86,15.8,1005,8,8,255,27,21220
2015-02-03,-1,-7,0.0,10.2,1,95,06:32 PM,07:39 AM,08:11 AM,06:28 PM,-12,-9,-4,-9,23,17,53,0.0,1026,-1,10,264,16,21220
2015-02-04,6,-2,0.0,10.2,2,98,07:28 PM,08:13 AM,08:10 AM,06:29 PM,-4,-3,2,-3,25,30,65,0.0,1021,6,10,180,15,21220
2015-02-05,-3,-7,0.0,10.0,1,92,08:23 PM,08:45 AM,08:09 AM,06:30 PM,-8,-11,-3,-11,41,29,67,0.1,1020,-3,8,321,29,21220
2015-02-06,2,-8,0.0,10.2,2,85,09:19 PM,09:15 AM,08:08 AM,06:32 PM,-15,-9,-3,-9,19,10,43,0.0,1025,2,10,271,14,21220
2015-02-07,5,-2,0.0,10.3,2,78,10:14 PM,09:44 AM,08:07 AM,06:33 PM,-7,-2,2,-2,18,30,55,0.0,1019,5,10,191,11,21220
2015-02-08,10,2,0.0,10.3,2,71,11:10 PM,10:14 AM,08:06 AM,06:34 PM,1,3,5,3,13,42,74,0.0,1012,10,10,146,7,21220
2015-02-09,3,-1,0.0,5.2,1,64,No moonrise,10:44 AM,08:05 AM,06:35 PM,-0,-4,1,-4,26,91,88,0.6,1012,3,8,45,18,21220
2015-02-10,2,-1,1.1,5.2,1,58,12:06 AM,11:17 AM,08:04 AM,06:36 PM,-3,-6,0,-6,33,86,81,2.5,1017,2,8,11,24,21220
2015-02-11,5,-3,0.0,10.3,2,51,01:04 AM,11:53 AM,08:03 AM,06:37 PM,-6,-4,0,-4,20,14,65,0.0,1017,5,10,192,13,21220
2015-02-12,5,-7,0.0,10.0,1,44,02:02 AM,12:34 PM,08:01 AM,06:39 PM,-6,-6,-0,-6,34,35,67,0.4,1012,5,9,278,24,21220
2015-02-13,-4,-10,0.0,10.4,2,37,03:00 AM,01:20 PM,08:00 AM,06:40 PM,-17,-15,-7,-15,28,11,46,0.0,1023,-4,10,298,22,21220
2015-02-14,4,-6,0.0,8.5,1,31,03:58 AM,02:13 PM,07:59 AM,06:41 PM,-12,-9,-2,-9,30,61,47,0.7,1009,4,8,223,21,21220
2015-02-15,-11,-14,0.0,10.8,2,24,04:54 AM,03:14 PM,07:58 AM,06:42 PM,-19,-25,-12,-25,58,18,60,0.0,1019,-11,10,312,44,21220
2015-02-16,-8,-16,2.9,7.0,1,17,05:48 AM,04:20 PM,07:57 AM,06:43 PM,-17,-20,-12,-20,21,56,67,3.4,1026,-8,8,269,15,21220
2015-02-17,-5,-11,8.4,10.9,1,10,06:36 AM,05:31 PM,07:55 AM,06:44 PM,-10,-14,-9,-14,15,52,88,9.9,1014,-5,7,193,10,21220
2015-02-18,-3,-10,0.6,10.1,1,3,07:22 AM,06:43 PM,07:54 AM,06:46 PM,-9,-12,-6,-12,21,49,79,1.4,1012,-3,8,200,12,21220
2015-02-19,-9,-15,0.0,8.5,1,3,08:03 AM,07:57 PM,07:53 AM,06:47 PM,-15,-22,-12,-22,41,50,78,0.2,1017,-9,9,293,26,21220
2015-02-20,-10,-19,0.0,11.0,2,10,08:43 AM,09:10 PM,07:52 AM,06:48 PM,-18,-24,-15,-24,28,10,78,0.0,1030,-10,10,264,17,21220
2015-02-21,-2,-14,0.0,7.0,1,17,09:22 AM,10:20 PM,07:50 AM,06:49 PM,-8,-14,-7,-14,29,74,93,19.9,1028,-2,6,182,18,21220
2015-02-22,2,0,0.0,5.5,1,24,10:01 AM,11:30 PM,07:49 AM,06:50 PM,1,-2,1,-2,12,100,98,3.0,1022,2,2,172,7,21220
2015-02-23,-5,-11,0.2,11.0,1,30,10:40 AM,No moonset,07:48 AM,06:51 PM,-9,-14,-6,-14,36,38,81,0.3,1029,-5,7,339,23,21220
2015-02-24,-6,-15,0.0,10.1,1,37,11:23 AM,12:35 AM,07:46 AM,06:52 PM,-13,-16,-10,-16,19,20,82,0.0,1023,-6,10,113,11,21220
2015-02-25,1,-8,0.0,11.1,2,44,12:07 PM,01:38 AM,07:45 AM,06:53 PM,-5,-7,-3,-7,18,29,85,0.0,1013,1,10,245,10,21220
2015-02-26,-1,-6,3.5,8.6,1,51,12:55 PM,02:36 AM,07:43 AM,06:55 PM,-4,-8,-3,-8,20,84,90,4.1,1016,-1,7,128,13,21220
2015-02-27,-4,-9,0.7,10.1,1,58,01:46 PM,03:29 AM,07:42 AM,06:56 PM,-8,-11,-6,-11,20,61,86,0.8,1030,-4,8,237,13,21220
2015-02-28,-4,-12,0.0,11.2,2,64,02:38 PM,04:17 AM,07:41 AM,06:57 PM,-13,-14,-9,-14,16,11,76,0.0,1042,-4,10,172,9,21220
2015-03-01,-1,-10,0.4,5.6,1,71,03:32 PM,05:00 AM,07:39 AM,06:58 PM,-6,-9,-5,-9,14,81,90,9.8,1034,-1,6,173,9,21220
2015-03-02,1,-4,0.0,10.1,1,78,04:27 PM,05:39 AM,07:38 AM,06:59 PM,-2,-6,-1,-6,31,46,89,0.2,1025,1,8,301,18,21220
2015-03-03,1,-7,0.0,5.8,1,85,05:23 PM,06:14 AM,07:36 AM,07:00 PM,-5,-9,-3,-9,24,71,87,8.6,1025,1,8,151,15,21220
2015-03-04,3,2,0.0,5.8,1,91,06:17 PM,06:47 AM,07:35 AM,07:01 PM,2,-0,2,-0,17,95,99,9.5,1013,3,7,181,9,21220
2015-03-05,-1,-6,5.4,5.8,1,98,07:13 PM,07:18 AM,07:33 AM,07:02 PM,-4,-9,-3,-9,33,91,92,16.9,1023,-1,7,262,22,21220
2015-03-06,-4,-15,0.0,11.6,2,95,08:08 PM,07:47 AM,07:32 AM,07:03 PM,-14,-17,-11,-17,19,1,81,0.0,1034,-4,10,268,11,21220
2015-03-07,2,-11,0.0,11.6,2,88,09:04 PM,08:17 AM,07:30 AM,07:04 PM,-6,-9,-4,-9,25,22,87,0.0,1025,2,10,220,13,21220
2015-03-08,6,1,0.0,10.2,2,82,10:00 PM,08:47 AM,07:29 AM,07:05 PM,1,-1,3,-1,23,40,91,0.0,1021,6,10,241,11,21220
2015-03-09,9,0,0.0,10.2,2,75,10:57 PM,09:19 AM,07:27 AM,07:06 PM,2,3,4,3,12,52,86,0.5,1023,9,8,116,6,21220
2015-03-10,10,3,0.0,8.8,2,68,11:54 PM,09:54 AM,07:26 AM,07:07 PM,2,4,6,4,22,56,73,1.4,1021,10,10,161,13,21220
2015-03-11,12,4,0.0,8.8,2,61,No moonrise,10:32 AM,07:24 AM,07:08 PM,3,5,8,5,22,66,75,0.1,1018,12,9,218,14,21220
2015-03-12,10,4,0.0,10.2,2,54,12:51 AM,11:15 AM,07:22 AM,07:09 PM,2,4,7,4,26,57,75,1.5,1016,10,10,204,16,21220
2015-03-13,9,3,0.0,8.8,2,48,01:48 AM,12:04 PM,07:21 AM,07:10 PM,1,2,6,2,26,63,74,1.1,1016,9,9,198,17,21220
2015-03-14,9,3,0.0,11.6,2,41,02:43 AM,12:59 PM,07:19 AM,07:12 PM,1,2,6,2,26,58,75,1.9,1014,9,9,187,17,21220
2015-03-15,10,3,0.0,11.6,2,34,03:35 AM,02:00 PM,07:18 AM,07:13 PM,2,3,6,3,23,56,78,0.2,1014,10,9,220,15,21220
2015-03-16,10,4,0.0,7.4,2,27,04:24 AM,03:07 PM,07:16 AM,07:14 PM,3,3,6,3,21,66,80,1.5,1017,10,9,194,13,21220
2015-03-17,10,2,0.0,8.8,2,21,05:10 AM,04:16 PM,07:14 AM,07:15 PM,1,4,6,4,18,59,75,0.6,1021,10,9,193,11,21220
2015-03-18,12,4,0.0,8.8,2,14,05:53 AM,05:29 PM,07:13 AM,07:16 PM,3,6,8,6,20,61,76,0.9,1019,12,9,186,12,21220
2015-03-19,8,2,0.0,11.6,2,7,06:33 AM,06:41 PM,07:11 AM,07:17 PM,-4,2,5,2,15,41,57,0.9,1025,8,10,90,9,21220
2015-03-20,2,1,0.0,6.0,1,0,07:13 AM,07:55 PM,07:10 AM,07:18 PM,-0,-3,2,-3,25,97,89,20.9,1022,2,8,67,16,21220
2015-03-21,9,-2,0.0,8.8,1,7,07:52 AM,09:06 PM,07:08 AM,07:19 PM,3,1,4,1,15,48,91,0.4,1018,9,9,240,9,21220
2015-03-22,7,-1,0.0,11.6,2,13,08:33 AM,10:16 PM,07:06 AM,07:20 PM,-2,-2,3,-2,29,5,70,0.4,1021,7,10,335,18,21220
2015-03-23,6,-3,0.0,11.6,1,20,09:15 AM,11:23 PM,07:05 AM,07:21 PM,-9,-3,1,-3,19,46,50,0.0,1025,6,10,115,13,21220
2015-03-24,5,1,0.1,8.8,1,27,10:01 AM,No moonset,07:03 AM,07:22 PM,-5,0,3,0,10,52,58,0.1,1027,5,9,98,7,21220
2015-03-25,7,1,0.0,6.1,1,34,10:49 AM,12:24 AM,07:02 AM,07:23 PM,-2,1,4,1,16,78,67,0.3,1027,7,9,146,10,21220
2015-03-26,19,7,0.0,7.5,3,40,11:40 AM,01:22 AM,07:00 AM,07:24 PM,10,10,12,10,29,87,91,3.3,1010,19,10,224,17,21220
2015-03-27,8,4,0.0,6.3,2,47,12:32 PM,02:12 AM,06:58 AM,07:25 PM,2,2,6,2,26,77,78,13.0,1009,8,8,260,17,21220
2015-03-28,3,-2,0.0,6.3,1,54,01:27 PM,02:58 AM,06:57 AM,07:26 PM,-7,-7,0,-7,37,66,58,0.2,1016,3,8,320,28,21220
2015-03-29,6,-3,0.0,11.6,2,61,02:21 PM,03:39 AM,06:55 AM,07:27 PM,-11,-4,1,-4,24,7,43,0.0,1025,6,10,276,16,21220
2015-03-30,12,3,0.0,10.3,2,67,03:17 PM,04:15 AM,06:54 AM,07:28 PM,0,3,7,3,34,49,63,1.8,1014,12,9,250,21,21220
