date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-12-11,4,-1,0.0,8.7,2,24,11:28 AM,09:42 PM,08:09 AM,05:43 PM,-2,-2,1,-2,22,20,77,0.0,1020,4,10,273,13,21853
2018-12-12,6,2,0.0,8.7,1,31,12:05 PM,10:37 PM,08:10 AM,05:43 PM,-2,1,4,1,18,31,66,0.0,1022,6,10,273,10,21853
2018-12-13,9,3,0.0,5.2,2,38,12:38 PM,11:34 PM,08:11 AM,05:43 PM,2,4,6,4,16,53,75,0.0,1026,9,10,150,9,21853
2018-12-14,11,6,0.0,8.7,2,45,01:09 PM,No moonset,08:11 AM,05:44 PM,6,7,8,7,12,51,83,5.0,1028,11,9,72,6,21853
2018-12-15,13,12,0.0,3.5,3,51,01:38 PM,12:31 AM,08:12 AM,05:44 PM,12,10,12,10,35,100,96,37.0,1016,13,7,81,19,21853
2018-12-16,10,5,0.0,3.5,2,58,02:06 PM,01:29 AM,08:13 AM,05:44 PM,7,6,9,6,24,97,92,7.6,1011,10,4,251,15,21853
2018-12-17,10,4,0.0,8.7,3,65,02:35 PM,02:27 AM,08:13 AM,05:45 PM,2,3,7,3,28,16,75,0.0,1012,10,10,298,17,21853
2018-12-18,6,2,0.0,8.7,2,72,03:06 PM,03:29 AM,08:14 AM,05:45 PM,-3,-0,4,-0,24,0,62,0.0,1020,6,10,318,15,21853
2018-12-19,8,1,0.0,8.7,2,78,03:41 PM,04:32 AM,08:14 AM,05:45 PM,-2,2,4,2,14,5,66,0.0,1022,8,10,200,8,21853
2018-12-20,14,4,0.0,3.5,3,85,04:20 PM,05:39 AM,08:15 AM,05:46 PM,8,7,9,7,30,78,90,23.7,1015,14,8,128,15,21853
2018-12-21,15,12,0.0,7.0,3,92,05:07 PM,06:47 AM,08:16 AM,05:46 PM,13,13,14,13,46,65,91,28.6,995,15,8,175,24,21853
2018-12-22,10,5,0.0,8.7,2,99,06:01 PM,07:56 AM,08:16 AM,05:47 PM,3,5,8,5,34,35,71,1.6,1007,10,9,289,21,21853
2018-12-23,8,3,0.0,8.7,3,94,07:03 PM,09:01 AM,08:17 AM,05:47 PM,0,3,5,3,12,9,71,0.6,1021,8,9,256,7,21853
2018-12-24,7,4,0.0,8.7,2,88,08:11 PM,10:00 AM,08:17 AM,05:48 PM,1,3,6,3,21,33,75,0.4,1021,7,8,290,12,21853
2018-12-25,5,1,0.0,5.2,1,81,09:23 PM,10:51 AM,08:17 AM,05:49 PM,-4,-0,3,-0,16,42,62,0.0,1028,5,10,327,10,21853
2018-12-26,6,0,0.0,8.7,2,74,10:34 PM,11:36 AM,08:18 AM,05:49 PM,-3,1,3,1,10,5,64,0.0,1033,6,10,267,6,21853
2018-12-27,8,2,0.0,8.7,2,67,11:44 PM,12:15 PM,08:18 AM,05:50 PM,1,3,5,3,17,30,74,0.0,1034,8,10,147,10,21853
2018-12-28,16,10,0.0,3.5,3,61,No moonrise,12:49 PM,08:18 AM,05:51 PM,12,12,14,12,49,92,90,19.3,1019,16,7,189,26,21853
2018-12-29,12,6,0.0,7.0,3,54,12:51 AM,01:22 PM,08:19 AM,05:51 PM,6,8,10,8,26,39,77,0.0,1020,12,10,222,15,21853
2018-12-30,8,4,0.0,7.0,2,47,01:56 AM,01:53 PM,08:19 AM,05:52 PM,1,5,6,5,6,34,70,0.0,1024,8,10,87,4,21853
2018-12-31,12,4,0.0,3.5,2,40,03:00 AM,02:25 PM,08:19 AM,05:53 PM,6,6,8,6,25,70,88,5.4,1022,12,10,141,11,21853
2019-01-01,17,8,0.0,7.0,3,34,04:02 AM,02:58 PM,08:19 AM,05:54 PM,10,13,14,13,40,77,77,0.4,1016,17,10,272,13,21853
2019-01-02,9,3,0.0,5.2,2,27,05:04 AM,03:35 PM,08:19 AM,05:54 PM,2,5,7,5,13,70,74,0.4,1024,9,9,88,5,21853
2019-01-03,10,4,0.0,5.2,2,20,06:03 AM,04:15 PM,08:19 AM,05:55 PM,5,5,7,5,19,75,82,8.1,1017,10,8,262,5,21853
2019-01-04,9,4,0.0,5.2,2,13,07:00 AM,04:59 PM,08:20 AM,05:56 PM,4,5,7,5,14,77,81,3.5,1015,9,8,138,6,21853
2019-01-05,12,8,0.0,3.5,2,6,07:54 AM,05:47 PM,08:20 AM,05:57 PM,8,8,10,8,32,71,88,6.5,1003,12,9,232,15,21853
2019-01-06,11,5,0.0,8.7,3,0,08:42 AM,06:39 PM,08:20 AM,05:58 PM,2,5,8,5,27,6,68,0.0,1019,11,10,302,11,21853
2019-01-07,5,1,0.0,5.2,1,7,09:26 AM,07:33 PM,08:20 AM,05:59 PM,-4,-0,3,-0,17,42,63,0.0,1030,5,10,90,7,21853
2019-01-08,12,5,0.0,9.8,2,14,10:04 AM,08:29 PM,08:19 AM,06:00 PM,7,7,9,7,26,57,86,1.5,1015,12,9,199,10,21853
2019-01-09,8,2,0.0,8.3,2,21,10:39 AM,09:25 PM,08:19 AM,06:00 PM,-1,2,7,2,38,39,59,0.5,1009,8,10,287,18,21853
2019-01-10,3,-1,0.0,9.8,2,27,11:10 AM,10:21 PM,08:19 AM,06:01 PM,-8,-6,1,-6,41,21,52,0.0,1015,3,10,307,16,21853
2019-01-11,2,-2,0.0,9.8,2,34,11:40 AM,11:18 PM,08:19 AM,06:02 PM,-10,-5,-0,-5,24,5,49,0.0,1027,2,10,307,9,21853
