date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-12-11,5,-2,0.0,8.7,2,24,11:33 AM,09:40 PM,08:15 AM,05:41 PM,-6,-2,0,-2,12,1,64,0.0,1020,5,10,179,7,21902
2018-12-12,6,-3,0.0,7.0,1,31,12:09 PM,10:36 PM,08:15 AM,05:41 PM,-4,-1,1,-1,13,29,67,0.0,1021,6,10,242,7,21902
2018-12-13,9,1,0.0,8.7,2,38,12:42 PM,11:34 PM,08:16 AM,05:41 PM,0,2,4,2,15,44,76,0.0,1027,9,10,112,9,21902
2018-12-14,10,2,0.0,7.0,2,45,01:12 PM,No moonset,08:17 AM,05:41 PM,6,5,6,5,11,82,95,2.7,1029,10,5,82,6,21902
2018-12-15,11,9,0.0,3.5,3,51,01:40 PM,12:31 AM,08:17 AM,05:42 PM,9,8,10,8,26,100,95,34.2,1019,11,8,39,16,21902
2018-12-16,7,3,0.0,3.5,2,58,02:08 PM,01:30 AM,08:18 AM,05:42 PM,4,2,6,2,29,92,89,39.8,1012,7,7,153,19,21902
2018-12-17,10,2,0.0,8.7,3,65,02:36 PM,02:29 AM,08:19 AM,05:42 PM,0,1,4,1,25,20,75,0.0,1012,10,10,292,16,21902
2018-12-18,4,-1,0.0,8.7,2,72,03:06 PM,03:31 AM,08:19 AM,05:43 PM,-5,-2,2,-2,20,3,62,0.0,1020,4,10,308,13,21902
2018-12-19,7,0,0.0,8.7,2,78,03:40 PM,04:36 AM,08:20 AM,05:43 PM,-3,1,3,1,9,5,65,0.0,1021,7,10,207,6,21902
2018-12-20,8,2,0.0,3.5,1,85,04:19 PM,05:43 AM,08:21 AM,05:43 PM,3,3,5,3,18,63,87,15.4,1016,8,9,99,11,21902
2018-12-21,16,12,0.0,3.5,4,92,05:05 PM,06:52 AM,08:21 AM,05:44 PM,14,15,15,15,27,88,93,34.4,994,16,8,166,16,21902
2018-12-22,9,2,0.0,8.7,3,99,05:59 PM,08:01 AM,08:22 AM,05:44 PM,1,2,6,2,29,35,71,3.2,1006,9,10,286,20,21902
2018-12-23,7,0,0.0,8.7,2,94,07:01 PM,09:06 AM,08:22 AM,05:45 PM,-1,2,3,2,10,24,72,0.1,1021,7,10,232,6,21902
2018-12-24,7,1,0.0,8.7,1,88,08:09 PM,10:05 AM,08:22 AM,05:46 PM,-1,1,4,1,19,42,70,0.2,1021,7,9,299,12,21902
2018-12-25,5,-1,0.0,5.2,1,81,09:22 PM,10:56 AM,08:23 AM,05:46 PM,-5,-2,1,-2,15,46,64,0.0,1028,5,10,305,9,21902
2018-12-26,7,-1,0.0,8.7,2,74,10:33 PM,11:40 AM,08:23 AM,05:47 PM,-3,0,2,0,11,17,67,0.0,1033,7,10,273,6,21902
2018-12-27,7,1,0.0,8.7,2,67,11:44 PM,12:18 PM,08:24 AM,05:47 PM,1,2,4,2,14,29,79,0.0,1034,7,10,151,9,21902
2018-12-28,14,7,0.0,3.5,3,61,No moonrise,12:52 PM,08:24 AM,05:48 PM,10,9,11,9,19,91,96,93.3,1018,14,6,183,11,21902
