date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-12-11,5,-2,0.0,8.7,2,24,11:28 AM,09:41 PM,08:09 AM,05:42 PM,-3,-3,0,-3,18,21,80,0.0,1019,5,10,311,10,21801
2018-12-12,7,-0,0.0,8.7,1,31,12:05 PM,10:36 PM,08:10 AM,05:42 PM,-3,0,3,0,13,29,66,0.0,1022,7,10,268,7,21801
2018-12-13,10,2,0.0,5.2,2,38,12:38 PM,11:33 PM,08:11 AM,05:43 PM,2,4,6,4,13,52,75,0.0,1027,10,10,137,7,21801
2018-12-14,13,5,0.0,8.7,2,45,01:08 PM,No moonset,08:11 AM,05:43 PM,6,8,9,8,9,53,85,3.3,1028,13,10,78,5,21801
2018-12-15,14,12,0.0,3.5,3,51,01:37 PM,12:30 AM,08:12 AM,05:43 PM,12,11,13,11,29,100,96,35.1,1017,14,7,79,18,21801
2018-12-16,11,5,0.0,3.5,2,58,02:05 PM,01:28 AM,08:13 AM,05:43 PM,8,7,9,7,16,98,92,8.5,1010,11,6,250,11,21801
2018-12-17,10,4,0.0,8.7,3,65,02:34 PM,02:27 AM,08:13 AM,05:44 PM,2,3,6,3,24,14,74,0.0,1012,10,10,295,15,21801
2018-12-18,6,1,0.0,8.7,2,72,03:06 PM,03:29 AM,08:14 AM,05:44 PM,-4,-0,3,-0,18,0,62,0.0,1020,6,10,306,12,21801
2018-12-19,8,1,0.0,8.7,2,78,03:40 PM,04:32 AM,08:15 AM,05:45 PM,-2,2,4,2,11,4,66,0.0,1022,8,10,201,7,21801
2018-12-20,15,3,0.0,3.5,3,85,04:19 PM,05:39 AM,08:15 AM,05:45 PM,8,8,9,8,24,77,90,21.7,1015,15,8,127,14,21801
2018-12-21,17,13,0.0,7.0,4,92,05:06 PM,06:47 AM,08:16 AM,05:46 PM,14,15,16,15,35,68,89,40.2,995,17,8,177,21,21801
2018-12-22,10,4,0.0,8.7,2,99,06:00 PM,07:56 AM,08:16 AM,05:46 PM,3,5,8,5,30,40,70,2.1,1007,10,10,284,19,21801
2018-12-23,9,2,0.0,8.7,3,94,07:02 PM,09:01 AM,08:17 AM,05:47 PM,0,3,5,3,10,9,71,0.4,1021,9,9,249,6,21801
2018-12-24,8,3,0.0,8.7,2,88,08:11 PM,10:00 AM,08:17 AM,05:47 PM,1,3,5,3,17,45,76,0.6,1021,8,8,286,11,21801
2018-12-25,6,-1,0.0,5.2,1,81,09:22 PM,10:51 AM,08:17 AM,05:48 PM,-4,-1,2,-1,12,38,64,0.0,1028,6,10,317,7,21801
2018-12-26,7,-0,0.0,8.7,2,74,10:33 PM,11:36 AM,08:18 AM,05:48 PM,-4,1,3,1,8,6,64,0.0,1033,7,10,263,5,21801
2018-12-27,9,2,0.0,8.7,3,67,11:43 PM,12:14 PM,08:18 AM,05:49 PM,1,3,5,3,14,27,74,0.0,1034,9,10,144,8,21801
2018-12-28,17,11,0.0,3.5,4,61,No moonrise,12:49 PM,08:18 AM,05:50 PM,13,14,15,14,38,97,89,23.3,1019,17,6,190,23,21801
2018-12-29,14,6,0.0,7.0,3,54,12:50 AM,01:22 PM,08:19 AM,05:50 PM,7,9,11,9,21,47,76,0.0,1020,14,9,261,14,21801
2018-12-30,9,4,0.0,7.0,2,47,01:56 AM,01:53 PM,08:19 AM,05:51 PM,1,5,6,5,5,38,69,0.0,1024,9,10,248,4,21801
2018-12-31,13,4,0.0,3.5,3,40,02:59 AM,02:24 PM,08:19 AM,05:52 PM,6,7,8,7,20,66,88,7.1,1022,13,9,139,10,21801
2019-01-01,18,8,0.0,7.0,4,34,04:02 AM,02:58 PM,08:19 AM,05:53 PM,10,14,15,14,38,76,75,0.5,1015,18,9,271,14,21801
2019-01-02,9,2,0.0,7.0,2,27,05:04 AM,03:34 PM,08:19 AM,05:53 PM,2,5,7,5,13,64,74,0.4,1024,9,9,126,5,21801
2019-01-03,10,4,0.0,5.2,2,20,06:03 AM,04:14 PM,08:20 AM,05:54 PM,4,5,7,5,18,75,82,7.3,1017,10,8,257,6,21801
2019-01-04,10,3,0.0,7.0,2,13,07:00 AM,04:58 PM,08:20 AM,05:55 PM,3,5,6,5,11,71,80,2.8,1015,10,9,144,5,21801
2019-01-05,13,8,0.0,3.5,3,6,07:54 AM,05:46 PM,08:20 AM,05:56 PM,9,8,11,8,29,74,88,6.1,1002,13,9,230,16,21801
2019-01-06,11,5,0.0,8.7,3,0,08:42 AM,06:38 PM,08:20 AM,05:57 PM,2,5,8,5,25,5,68,0.0,1018,11,10,298,13,21801
2019-01-07,5,-0,0.0,5.2,1,7,09:26 AM,07:33 PM,08:20 AM,05:58 PM,-4,-1,2,-1,16,42,63,0.0,1030,5,10,128,9,21801
2019-01-08,12,4,0.0,7.0,2,14,10:04 AM,08:28 PM,08:19 AM,05:59 PM,7,7,9,7,23,60,87,2.0,1015,12,10,199,12,21801
2019-01-09,8,1,0.2,9.8,2,21,10:39 AM,09:25 PM,08:19 AM,06:00 PM,-1,2,6,2,36,35,58,0.7,1009,8,10,284,19,21801
2019-01-10,3,-1,0.0,9.8,2,27,11:10 AM,10:21 PM,08:19 AM,06:01 PM,-9,-6,0,-6,37,26,49,0.0,1015,3,10,303,17,21801
2019-01-11,2,-2,0.0,9.8,2,34,11:39 AM,11:18 PM,08:19 AM,06:02 PM,-11,-5,-1,-5,22,5,45,0.0,1026,2,10,318,11,21801
