date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-12-11,5,-2,0.0,8.7,2,24,11:33 AM,09:45 PM,08:14 AM,05:46 PM,-3,-2,1,-2,17,3,78,0.0,1020,5,10,303,9,20637
2018-12-12,7,-0,0.0,7.0,1,31,12:10 PM,10:41 PM,08:15 AM,05:47 PM,-2,1,3,1,14,37,70,0.0,1022,7,10,217,8,20637
2018-12-13,9,3,0.0,8.7,2,38,12:43 PM,11:38 PM,08:16 AM,05:47 PM,2,4,6,4,11,47,77,0.0,1026,9,10,154,7,20637
2018-12-14,9,4,0.0,7.0,2,45,01:14 PM,No moonset,08:17 AM,05:47 PM,4,6,7,6,10,52,83,8.9,1028,9,9,103,6,20637
2018-12-15,12,10,0.0,3.5,3,51,01:42 PM,12:35 AM,08:17 AM,05:47 PM,11,9,11,9,27,100,96,35.4,1017,12,7,52,16,20637
2018-12-16,10,5,0.0,3.5,2,58,02:10 PM,01:33 AM,08:18 AM,05:48 PM,6,5,8,5,22,88,92,16.4,1011,10,9,178,14,20637
2018-12-17,11,4,0.0,8.7,3,65,02:39 PM,02:32 AM,08:19 AM,05:48 PM,2,4,7,4,22,17,74,0.0,1013,11,10,289,13,20637
2018-12-18,6,2,0.0,8.7,2,72,03:10 PM,03:34 AM,08:19 AM,05:48 PM,-3,0,4,0,20,1,60,0.0,1021,6,10,312,13,20637
2018-12-19,8,1,0.0,8.7,3,78,03:45 PM,04:37 AM,08:20 AM,05:49 PM,-3,2,4,2,15,4,63,0.0,1021,8,10,206,8,20637
2018-12-20,13,3,0.0,3.5,2,85,04:24 PM,05:44 AM,08:20 AM,05:49 PM,5,5,7,5,22,77,84,17.7,1014,13,8,103,12,20637
2018-12-21,15,12,0.0,5.2,3,92,05:10 PM,06:52 AM,08:21 AM,05:50 PM,13,14,15,14,30,69,90,12.8,994,15,9,172,16,20637
2018-12-22,10,5,0.0,7.0,2,99,06:04 PM,08:01 AM,08:21 AM,05:50 PM,2,5,8,5,28,31,68,2.9,1008,10,10,295,19,20637
2018-12-23,8,2,0.0,8.7,3,94,07:07 PM,09:06 AM,08:22 AM,05:51 PM,-0,4,5,4,12,14,68,0.1,1021,8,10,244,8,20637
2018-12-24,7,4,0.0,8.7,3,88,08:15 PM,10:05 AM,08:22 AM,05:51 PM,0,3,5,3,19,28,71,0.1,1021,7,10,266,11,20637
2018-12-25,5,1,0.0,5.2,1,81,09:27 PM,10:57 AM,08:23 AM,05:52 PM,-5,0,3,0,14,47,59,0.0,1028,5,10,325,9,20637
