date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-12-11,5,1,0.0,8.7,2,24,11:26 AM,09:39 PM,08:07 AM,05:41 PM,-2,-1,3,-1,24,23,72,0.0,1019,5,10,188,15,21811
2018-12-12,6,2,0.0,8.7,1,31,12:03 PM,10:35 PM,08:08 AM,05:41 PM,-3,1,4,1,21,32,63,0.0,1022,6,10,275,13,21811
2018-12-13,9,4,0.0,5.2,2,38,12:36 PM,11:32 PM,08:09 AM,05:41 PM,2,5,7,5,16,50,74,0.0,1027,9,10,138,9,21811
2018-12-14,12,7,0.0,7.0,2,45,01:07 PM,No moonset,08:10 AM,05:41 PM,7,8,9,8,15,52,86,2.4,1028,12,10,115,7,21811
2018-12-15,12,11,0.0,3.5,3,51,01:36 PM,12:28 AM,08:10 AM,05:42 PM,11,9,12,9,40,100,97,17.2,1017,12,9,82,22,21811
2018-12-16,10,5,0.0,3.5,2,58,02:04 PM,01:27 AM,08:11 AM,05:42 PM,8,6,9,6,26,96,93,1.7,1010,10,8,247,17,21811
2018-12-17,9,5,0.0,8.7,3,65,02:33 PM,02:25 AM,08:12 AM,05:42 PM,2,2,7,2,33,14,75,0.0,1012,9,10,301,21,21811
2018-12-18,6,3,0.0,8.7,2,72,03:04 PM,03:27 AM,08:12 AM,05:43 PM,-3,-1,4,-1,30,0,60,0.0,1020,6,10,316,20,21811
2018-12-19,7,2,0.0,8.7,3,78,03:38 PM,04:30 AM,08:13 AM,05:43 PM,-2,2,4,2,14,3,63,0.0,1022,7,10,226,9,21811
2018-12-20,14,5,0.0,3.5,3,85,04:17 PM,05:37 AM,08:13 AM,05:43 PM,8,8,10,8,34,77,89,11.6,1015,14,9,133,17,21811
2018-12-21,14,12,0.0,7.0,3,92,05:04 PM,06:45 AM,08:14 AM,05:44 PM,12,12,14,12,52,66,91,45.7,996,14,8,176,26,21811
2018-12-22,10,6,0.0,8.7,2,99,05:58 PM,07:54 AM,08:14 AM,05:44 PM,3,4,8,4,39,34,72,1.6,1007,10,9,283,24,21811
2018-12-23,8,3,0.0,8.7,3,94,07:01 PM,08:59 AM,08:15 AM,05:45 PM,0,3,6,3,16,8,69,0.2,1021,8,9,258,10,21811
2018-12-24,7,4,0.0,8.7,3,88,08:09 PM,09:58 AM,08:15 AM,05:46 PM,2,3,6,3,24,38,75,0.2,1020,7,9,292,15,21811
2018-12-25,5,1,0.0,5.2,1,81,09:21 PM,10:50 AM,08:16 AM,05:46 PM,-4,-1,3,-1,21,39,61,0.0,1027,5,10,318,13,21811
2018-12-26,6,1,0.0,8.7,2,74,10:31 PM,11:34 AM,08:16 AM,05:47 PM,-3,1,3,1,13,6,62,0.0,1033,6,10,311,8,21811
2018-12-27,8,3,0.0,8.7,3,67,11:42 PM,12:13 PM,08:16 AM,05:47 PM,1,3,6,3,19,23,73,0.0,1035,8,10,134,11,21811
2018-12-28,15,10,0.0,3.5,3,61,No moonrise,12:47 PM,08:17 AM,05:48 PM,12,11,13,11,55,100,91,11.1,1020,15,8,186,29,21811
2018-12-29,12,6,0.0,7.0,3,54,12:49 AM,01:20 PM,08:17 AM,05:49 PM,7,8,10,8,30,50,79,0.5,1020,12,9,260,17,21811
2018-12-30,7,5,0.0,7.0,2,47,01:54 AM,01:51 PM,08:17 AM,05:50 PM,1,5,6,5,9,34,69,0.0,1024,7,10,161,6,21811
2018-12-31,12,5,0.0,3.5,2,40,02:58 AM,02:22 PM,08:17 AM,05:50 PM,7,7,9,7,28,63,87,2.6,1023,12,10,141,13,21811
2019-01-01,16,9,0.0,7.0,3,34,04:00 AM,02:56 PM,08:18 AM,05:51 PM,10,12,14,12,41,78,79,0.7,1015,16,10,270,12,21811
2019-01-02,9,2,0.0,8.7,2,27,05:02 AM,03:33 PM,08:18 AM,05:52 PM,3,5,7,5,17,59,75,0.3,1024,9,9,118,3,21811
2019-01-03,10,5,0.0,5.2,2,20,06:01 AM,04:12 PM,08:18 AM,05:53 PM,5,5,8,5,22,78,82,6.3,1017,10,8,254,4,21811
2019-01-04,9,4,0.0,7.0,2,13,06:59 AM,04:56 PM,08:18 AM,05:54 PM,3,5,7,5,14,70,77,2.7,1015,9,9,138,6,21811
2019-01-05,12,8,0.0,3.5,3,6,07:52 AM,05:45 PM,08:18 AM,05:54 PM,9,7,10,7,35,74,89,3.8,1002,12,9,231,15,21811
2019-01-06,10,4,0.0,8.7,3,0,08:40 AM,06:36 PM,08:18 AM,05:55 PM,2,5,8,5,29,5,68,0.0,1018,10,10,299,12,21811
2019-01-07,4,2,0.0,7.0,1,7,09:24 AM,07:31 PM,08:18 AM,05:56 PM,-3,-1,3,-1,21,37,62,0.0,1030,4,10,125,8,21811
2019-01-08,11,6,0.0,7.0,2,14,10:03 AM,08:26 PM,08:18 AM,05:57 PM,7,7,9,7,29,59,87,0.9,1015,11,9,200,10,21811
2019-01-09,8,2,0.0,7.0,2,21,10:37 AM,09:23 PM,08:18 AM,05:58 PM,-0,2,7,2,41,41,61,1.1,1008,8,10,283,17,21811
2019-01-10,3,-0,0.0,8.7,2,27,11:08 AM,10:19 PM,08:18 AM,05:59 PM,-7,-6,1,-6,43,29,55,0.0,1014,3,10,303,19,21811
2019-01-11,2,-1,0.0,9.8,2,34,11:38 AM,11:16 PM,08:17 AM,06:00 PM,-10,-6,0,-6,29,5,49,0.0,1026,2,10,318,6,21811
