date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-12-11,4,-8,0.0,8.7,2,24,11:44 AM,09:51 PM,08:26 AM,05:51 PM,-9,-7,-3,-7,16,0,64,0.0,1021,4,10,271,10,21502
2018-12-12,5,-5,0.0,5.2,1,31,12:20 PM,10:47 PM,08:26 AM,05:51 PM,-3,-2,-0,-2,12,43,80,0.0,1021,5,10,196,7,21502
2018-12-13,9,-2,0.0,5.2,1,38,12:53 PM,11:45 PM,08:27 AM,05:52 PM,0,1,2,1,7,65,89,0.1,1025,9,6,137,4,21502
2018-12-14,4,-2,0.0,3.5,1,45,01:23 PM,No moonset,08:28 AM,05:52 PM,1,1,2,1,7,92,95,9.8,1027,4,4,121,4,21502
2018-12-15,8,5,0.0,3.5,2,51,01:51 PM,12:42 AM,08:29 AM,05:52 PM,7,5,7,5,14,100,97,38.4,1018,8,6,63,8,21502
2018-12-16,5,1,0.0,3.5,1,58,02:19 PM,01:41 AM,08:29 AM,05:52 PM,2,1,4,1,13,88,92,16.1,1014,5,7,185,9,21502
2018-12-17,7,-3,0.0,8.7,2,65,02:47 PM,02:40 AM,08:30 AM,05:53 PM,-3,-3,2,-3,28,13,74,0.0,1015,7,10,290,18,21502
2018-12-18,4,-4,0.0,8.7,2,72,03:17 PM,03:43 AM,08:31 AM,05:53 PM,-6,-4,-1,-4,15,10,67,0.0,1022,4,10,306,10,21502
2018-12-19,9,-4,0.0,8.7,2,78,03:51 PM,04:47 AM,08:31 AM,05:53 PM,-6,1,1,1,5,7,64,0.0,1020,9,10,162,3,21502
2018-12-20,6,-1,0.0,5.2,1,85,04:30 PM,05:55 AM,08:32 AM,05:54 PM,1,1,3,1,12,59,91,9.0,1012,6,7,118,7,21502
2018-12-21,14,4,0.0,3.5,2,92,05:16 PM,07:04 AM,08:32 AM,05:54 PM,7,7,8,7,13,90,92,18.5,992,14,7,227,9,21502
2018-12-22,5,-3,0.1,7.0,1,99,06:10 PM,08:12 AM,08:33 AM,05:55 PM,-1,-3,2,-3,26,62,78,2.7,1010,5,10,291,19,21502
2018-12-23,8,-4,0.0,8.7,1,94,07:12 PM,09:18 AM,08:33 AM,05:55 PM,-3,-0,2,-0,9,47,75,1.8,1020,8,10,222,6,21502
2018-12-24,4,-5,0.1,7.0,1,88,08:21 PM,10:16 AM,08:34 AM,05:56 PM,-4,-4,0,-4,22,56,76,0.1,1023,4,10,287,15,21502
2018-12-25,4,-6,0.0,3.5,1,81,09:33 PM,11:08 AM,08:34 AM,05:57 PM,-7,-4,-2,-4,5,50,73,0.0,1029,4,10,291,4,21502
2018-12-26,8,-5,0.0,8.7,2,74,10:45 PM,11:52 AM,08:34 AM,05:57 PM,-4,-1,-0,-1,6,12,75,0.0,1033,8,10,264,3,21502
2018-12-27,6,-3,0.0,8.7,1,67,11:55 PM,12:29 PM,08:35 AM,05:58 PM,-2,-1,1,-1,14,37,80,0.1,1031,6,10,131,8,21502
2018-12-28,10,2,0.0,5.2,2,61,No moonrise,01:03 PM,08:35 AM,05:59 PM,6,5,6,5,13,79,95,32.6,1016,10,7,184,7,21502
2018-12-29,4,-1,0.0,8.7,1,54,01:03 AM,01:35 PM,08:35 AM,05:59 PM,1,1,4,1,20,30,79,0.0,1022,4,10,290,14,21502
2018-12-30,8,-1,0.0,9.7,2,47,02:09 AM,02:05 PM,08:35 AM,06:00 PM,-1,1,2,1,7,17,79,0.0,1023,8,10,242,4,21502
2018-12-31,6,-1,0.0,4.8,1,40,03:14 AM,02:36 PM,08:36 AM,06:01 PM,2,2,3,2,10,78,95,6.4,1019,6,5,141,6,21502
2019-01-01,9,5,0.0,6.5,2,34,04:17 AM,03:09 PM,08:36 AM,06:02 PM,5,6,9,6,26,57,79,2.5,1016,9,10,278,12,21502
2019-01-02,7,3,0.0,4.8,2,27,05:20 AM,03:45 PM,08:36 AM,06:02 PM,3,4,5,4,5,88,84,0.0,1022,7,10,202,5,21502
2019-01-03,5,-2,0.0,9.7,1,20,06:19 AM,04:24 PM,08:36 AM,06:03 PM,-1,0,3,0,13,33,78,0.1,1017,5,10,265,5,21502
2019-01-04,8,-1,0.0,8.2,1,13,07:17 AM,05:08 PM,08:36 AM,06:04 PM,-1,2,3,2,7,48,76,0.6,1013,8,9,174,9,21502
2019-01-05,9,3,0.0,9.7,2,6,08:10 AM,05:56 PM,08:36 AM,06:05 PM,3,3,5,3,18,47,85,7.6,1005,9,8,224,9,21502
2019-01-06,7,-2,0.0,9.7,2,0,08:59 AM,06:48 PM,08:36 AM,06:06 PM,-1,0,4,0,38,6,70,0.0,1020,7,10,302,13,21502
2019-01-07,2,-2,0.0,8.2,1,7,09:42 AM,07:43 PM,08:36 AM,06:07 PM,-5,-3,-0,-3,11,59,72,0.8,1027,2,9,129,4,21502
2019-01-08,14,1,0.0,9.7,2,14,10:20 AM,08:39 PM,08:36 AM,06:08 PM,4,5,7,5,12,42,79,4.0,1012,14,9,186,8,21502
2019-01-09,3,-5,0.9,4.9,1,21,10:54 AM,09:36 PM,08:36 AM,06:09 PM,-5,-6,0,-6,33,56,68,2.8,1012,3,6,296,23,21502
