date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-12-11,8,0,0.0,8.7,2,24,11:34 AM,09:43 PM,08:15 AM,05:44 PM,-4,1,3,1,14,3,60,0.0,1020,8,10,265,10,21412
2018-12-12,7,1,0.0,7.0,1,31,12:10 PM,10:39 PM,08:16 AM,05:44 PM,-3,1,4,1,14,26,60,0.0,1022,7,10,246,9,21412
2018-12-13,9,4,0.0,8.7,2,38,12:43 PM,11:36 PM,08:17 AM,05:44 PM,1,4,6,4,13,55,71,0.0,1026,9,10,131,8,21412
2018-12-14,9,5,0.0,8.7,2,45,01:13 PM,No moonset,08:17 AM,05:44 PM,5,6,7,6,10,52,88,5.0,1028,9,10,56,6,21412
2018-12-15,11,9,0.0,3.5,3,51,01:42 PM,12:33 AM,08:18 AM,05:45 PM,9,7,10,7,30,100,96,38.6,1018,11,8,42,18,21412
2018-12-16,8,5,0.0,3.5,2,58,02:09 PM,01:32 AM,08:19 AM,05:45 PM,5,3,7,3,28,91,88,32.7,1012,8,8,186,19,21412
2018-12-17,10,4,0.0,7.0,2,65,02:38 PM,02:31 AM,08:19 AM,05:45 PM,1,3,6,3,27,26,67,0.0,1012,10,10,298,18,21412
2018-12-18,7,2,0.0,8.7,2,72,03:09 PM,03:33 AM,08:20 AM,05:46 PM,-4,1,4,1,22,5,56,0.0,1020,7,10,310,16,21412
2018-12-19,8,4,0.0,8.7,3,78,03:43 PM,04:37 AM,08:20 AM,05:46 PM,-1,4,6,4,11,4,60,0.0,1021,8,10,208,8,21412
2018-12-20,8,4,0.0,3.5,2,85,04:21 PM,05:44 AM,08:21 AM,05:47 PM,4,4,6,4,20,68,83,14.7,1015,8,9,99,12,21412
2018-12-21,15,12,0.0,5.2,3,92,05:08 PM,06:53 AM,08:22 AM,05:47 PM,13,13,14,13,33,74,92,16.5,994,15,9,170,18,21412
2018-12-22,9,5,0.0,8.7,3,99,06:02 PM,08:02 AM,08:22 AM,05:47 PM,1,3,7,3,32,33,65,1.1,1007,9,10,292,22,21412
2018-12-23,9,4,0.0,8.7,3,94,07:04 PM,09:07 AM,08:23 AM,05:48 PM,-0,4,6,4,12,20,64,0.1,1021,9,10,239,9,21412
2018-12-24,7,4,0.0,8.7,2,88,08:12 PM,10:06 AM,08:23 AM,05:49 PM,-1,3,5,3,22,42,64,0.0,1021,7,10,300,14,21412
2018-12-25,5,1,0.0,7.0,1,81,09:25 PM,10:57 AM,08:23 AM,05:49 PM,-6,-0,3,-0,14,47,53,0.0,1028,5,10,314,10,21412
2018-12-26,8,1,0.0,8.7,3,74,10:36 PM,11:41 AM,08:24 AM,05:50 PM,-3,3,5,3,8,10,60,0.0,1033,8,10,268,6,21412
