date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,4,-2,0.0,8.7,2,71,03:27 PM,04:53 AM,08:26 AM,05:57 PM,-11,-4,1,-4,24,16,42,0.0,1022,4,10,240,14,20735
2015-01-02,7,0,0.0,8.7,2,78,04:13 PM,05:52 AM,08:26 AM,05:58 PM,-3,1,4,1,14,10,63,0.0,1026,7,10,258,8,20735
2015-01-03,7,2,0.0,3.5,1,85,05:04 PM,06:46 AM,08:26 AM,05:58 PM,1,1,4,1,14,65,81,1.6,1029,7,7,96,9,20735
2015-01-04,16,6,0.0,3.5,3,92,05:57 PM,07:37 AM,08:26 AM,05:59 PM,10,8,11,8,30,77,93,5.8,1014,16,7,228,17,20735
2015-01-05,3,-2,0.0,9.7,1,99,06:51 PM,08:22 AM,08:26 AM,06:00 PM,-7,-4,1,-4,32,11,57,0.9,1026,3,9,302,22,20735
2015-01-06,1,-4,4.6,8.2,1,95,07:47 PM,09:03 AM,08:26 AM,06:01 PM,-8,-6,-2,-6,12,59,68,5.4,1024,1,6,216,9,20735
2015-01-07,-5,-11,0.0,9.8,1,88,08:43 PM,09:40 AM,08:26 AM,06:02 PM,-11,-14,-6,-14,33,34,69,0.0,1022,-5,8,300,23,20735
2015-01-08,-7,-14,0.0,9.8,2,81,09:39 PM,10:13 AM,08:26 AM,06:03 PM,-17,-18,-10,-18,24,12,60,0.0,1032,-7,10,255,16,20735
2015-01-09,1,-6,0.0,9.8,1,74,10:33 PM,10:44 AM,08:26 AM,06:04 PM,-10,-9,-3,-9,28,40,56,0.0,1022,1,10,256,18,20735
2015-01-10,-1,-10,0.0,9.8,2,68,11:29 PM,11:14 AM,08:26 AM,06:05 PM,-13,-11,-6,-11,20,0,55,0.0,1034,-1,10,273,13,20735
2015-01-11,2,-6,0.0,9.8,2,61,No moonrise,11:44 AM,08:25 AM,06:06 PM,-8,-6,-2,-6,17,27,63,0.1,1036,2,10,180,10,20735
2015-01-12,3,0,0.0,4.9,1,54,12:24 AM,12:13 PM,08:25 AM,06:07 PM,-0,-2,2,-2,15,94,87,26.4,1026,3,7,192,9,20735
2015-01-13,-2,-4,1.2,9.8,2,47,01:20 AM,12:45 PM,08:25 AM,06:08 PM,-6,-8,-2,-8,25,22,76,1.4,1033,-2,9,106,17,20735
2015-01-14,-1,-5,1.9,4.9,1,41,02:17 AM,01:21 PM,08:25 AM,06:09 PM,-6,-7,-2,-7,16,89,77,2.2,1028,-1,6,101,12,20735
2015-01-15,3,-3,0.0,9.9,2,34,03:17 AM,02:00 PM,08:24 AM,06:10 PM,-4,-3,-0,-3,13,12,78,0.0,1021,3,10,285,9,20735
2015-01-16,6,0,0.0,9.9,2,27,04:17 AM,02:44 PM,08:24 AM,06:11 PM,-3,-2,2,-2,24,20,72,0.0,1018,6,10,238,15,20735
