id,year,month,name,crime_count,crime_rate,incident_parent_type
1600000US2427900,2016,1,"Federalsburg, MD",20,0.00735835172921266,Traffic
1600000US2428075,2015,1,"Ferndale, MD",1,0.0000557134102178394,Theft
1600000US2428075,2015,1,"Ferndale, MD",1,0.0000557134102178394,Theft of Vehicle
1600000US2428075,2016,1,"Ferndale, MD",1,0.0000557134102178394,Theft
1600000US2428300,2015,1,"Fishing Creek, MD",1,0.015625,Other
1600000US2428640,2015,1,"Forest Glen, MD",3,0.000406338886631451,Assault
1600000US2428640,2015,1,"Forest Glen, MD",1,0.000135446295543817,Breaking & Entering
1600000US2428640,2015,1,"Forest Glen, MD",1,0.000135446295543817,Disorder
1600000US2428640,2015,1,"Forest Glen, MD",1,0.000135446295543817,Drugs
1600000US2428640,2015,1,"Forest Glen, MD",1,0.000135446295543817,Theft
1600000US2428640,2015,1,"Forest Glen, MD",3,0.000406338886631451,Theft from Vehicle
1600000US2428640,2015,1,"Forest Glen, MD",13,0.00176080184206962,Traffic
1600000US2428640,2016,1,"Forest Glen, MD",1,0.000135446295543817,Arson
1600000US2428640,2016,1,"Forest Glen, MD",7,0.000948124068806718,Assault
1600000US2428640,2016,1,"Forest Glen, MD",3,0.000406338886631451,Breaking & Entering
1600000US2428640,2016,1,"Forest Glen, MD",1,0.000135446295543817,Death
1600000US2428640,2016,1,"Forest Glen, MD",4,0.000541785182175268,Disorder
1600000US2428640,2016,1,"Forest Glen, MD",2,0.000270892591087634,Drugs
1600000US2428640,2016,1,"Forest Glen, MD",1,0.000135446295543817,Theft
1600000US2428640,2016,1,"Forest Glen, MD",2,0.000270892591087634,Theft from Vehicle
1600000US2428640,2016,1,"Forest Glen, MD",30,0.00406338886631451,Traffic
1600000US2428640,2016,1,"Forest Glen, MD",1,0.000135446295543817,Weapons Offense
1600000US2429000,2015,1,"Forestville, MD",5,0.000433538541576346,Breaking & Entering
1600000US2429000,2015,1,"Forestville, MD",2,0.000173415416630538,Other
1600000US2429000,2015,1,"Forestville, MD",1,0.0000867077083152692,Other Sexual Offense
1600000US2429000,2015,1,"Forestville, MD",1,0.0000867077083152692,Robbery
1600000US2429000,2015,1,"Forestville, MD",5,0.000433538541576346,Theft
1600000US2429000,2015,1,"Forestville, MD",12,0.00104049249978323,Theft from Vehicle
1600000US2429000,2015,1,"Forestville, MD",10,0.000867077083152692,Theft of Vehicle
1600000US2429000,2015,1,"Forestville, MD",1,0.0000867077083152692,Traffic
1600000US2429000,2016,1,"Forestville, MD",1,0.0000867077083152692,Assault with Deadly Weapon
1600000US2429000,2016,1,"Forestville, MD",1,0.0000867077083152692,Other Sexual Offense
1600000US2429000,2016,1,"Forestville, MD",1,0.0000867077083152692,Property Crime
1600000US2429000,2016,1,"Forestville, MD",3,0.000260123124945808,Theft
1600000US2429000,2016,1,"Forestville, MD",1,0.0000867077083152692,Theft from Vehicle
1600000US2429000,2016,1,"Forestville, MD",2,0.000173415416630538,Theft of Vehicle
